nama_usaha,jumlah_menu,gambar_menu,apakah_menjual_minuman,apakah_menjual_makanan,jumlah_review,rating,rata-rata_harga_makanan_utama,Promo_ongkir(goplus),jam_buka,lokasi,rating_gmaps,Sosial_media,jumlah_ulasan_gmaps,menu_utama,durasi_oprasional,Kecamantan
"Soto Ayam Madura United, Lodaya",6,Template,Tidak,Ya,100,4.7,Medium,Ya,8:00,Bandung,5.0,Tidak,1.0,Soto,6.0,Lengkong
"Dapoer Pandan Wangi, Patuha",104,Foto_Sendiri,Ya,Ya,12000,4.8,Medium,Tidak,10:00,Bandung,4.5,Ya,9063.0,Berangam,11.0,Lengkong
"Bakso Malang Langgeng, Lodaya",76,Foto_Sendiri,Ya,Ya,900,4.9,Low,Ya,10:00,Bandung,4.2,Ya,1136.0,Bakso,12.0,Lengkong
"Ayam Goreng Suharti, Lengkong",130,Foto_Sendiri,Ya,Ya,9000,4.8,High,Ya,8:00,Bandung,4.5,Ya,1668.0,Ayam,12.0,Lengkong
"KADAKA Cafe & Resto, Patuha",71,Foto_Sendiri,Ya,Ya,100,4.6,High,Ya,8:00,Bandung,4.7,Ya,475.0,Pizza,12.0,Lengkong
"Batagor Riri, Pusat",31,Foto_Sendiri,Ya,Ya,3000,4.9,Very High,Tidak,8:30,Bandung,4.9,Ya,4220.0,Batagor,10.0,Lengkong
"Warung Nasi Sunda Ibu Nining, Pelajar",83,Template,Ya,Ya,1000,4.2,Low,Ya,8:00,Bandung,4.3,Tidak,32.0,Ayam,13.0,Lengkong
"Es Oyen, Pujasera San Francisco",8,Template,Ya,Tidak,900,4.4,Medium,Ya,11:00,Bandung,4.4,Tidak,77.0,Es,11.0,Lengkong
"Nasi Jamblang Asli Khas Cirebon, Lengkong",94,Template,Ya,Ya,2000,4.5,Low,Ya,10:30,Bandung,4.3,Ya,1815.0,Beragam,9.0,Lengkong
"Rockepo Coffee, Lengkong",40,Foto_Sendiri,Ya,Tidak,50,4.5,Low,Ya,9:00,Bandung,4.4,Tidak,130.0,Kopi,13.0,Lengkong
Kedai Mandiri,64,Template,Ya,Ya,4000,4.9,Medium,Tidak,7:00,Bandung,4.5,Ya,1577.0,Berangam,13.0,Lengkong
"Ayam Goreng Sinar Pemuda, Karapitan",32,Template,Ya,Ya,400,4.8,High,Ya,9:30,Bandung ,4.5,Tidak,21.0,Ayam,10.0,Lengkong
